prompt_id,seed,prompt
5,4,"A cyclist riding through a rainy city street at night, neon reflections"
5,5,"A cyclist riding through a rainy city street at night, neon reflections"
5,6,"A cyclist riding through a rainy city street at night, neon reflections"
5,7,"A cyclist riding through a rainy city street at night, neon reflections"
6,0,Two children building a sandcastle on a crowded beach
6,1,Two children building a sandcastle on a crowded beach
6,2,Two children building a sandcastle on a crowded beach
6,3,Two children building a sandcastle on a crowded beach
6,4,Two children building a sandcastle on a crowded beach
6,5,Two children building a sandcastle on a crowded beach
6,6,Two children building a sandcastle on a crowded beach
6,7,Two children building a sandcastle on a crowded beach
7,0,A steam locomotive crossing a tall stone bridge in autumn
7,1,A steam locomotive crossing a tall stone bridge in autumn
7,2,A steam locomotive crossing a tall stone bridge in autumn
7,3,A steam locomotive crossing a tall stone bridge in autumn
7,4,A steam locomotive crossing a tall stone bridge in autumn
7,5,A steam locomotive crossing a tall stone bridge in autumn
7,6,A steam locomotive crossing a tall stone bridge in autumn
7,7,A steam locomotive crossing a tall stone bridge in autumn
8,0,A ballerina performing a pirouette on a dimly lit stage
8,1,A ballerina performing a pirouette on a dimly lit stage
8,2,A ballerina performing a pirouette on a dimly lit stage
8,3,A ballerina performing a pirouette on a dimly lit stage
8,4,A ballerina performing a pirouette on a dimly lit stage
8,5,A ballerina performing a pirouette on a dimly lit stage
8,6,A ballerina performing a pirouette on a dimly lit stage
8,7,A ballerina performing a pirouette on a dimly lit stage
9,0,Hot air balloons drifting over Cappadocia rock formations at dawn
9,1,Hot air balloons drifting over Cappadocia rock formations at dawn
9,2,Hot air balloons drifting over Cappadocia rock formations at dawn
9,3,Hot air balloons drifting over Cappadocia rock formations at dawn
9,4,Hot air balloons drifting over Cappadocia rock formations at dawn
9,5,Hot air balloons drifting over Cappadocia rock formations at dawn
9,6,Hot air balloons drifting over Cappadocia rock formations at dawn
9,7,Hot air balloons drifting over Cappadocia rock formations at dawn
10,0,A barista pouring latte art in a cozy coffee shop
10,1,A barista pouring latte art in a cozy coffee shop
10,2,A barista pouring latte art in a cozy coffee shop
10,3,A barista pouring latte art in a cozy coffee shop
10,4,A barista pouring latte art in a cozy coffee shop
10,5,A barista pouring latte art in a cozy coffee shop
10,6,A barista pouring latte art in a cozy coffee shop
10,7,A barista pouring latte art in a cozy coffee shop
11,0,A red fox trotting through fresh snow in a pine forest
11,1,A red fox trotting through fresh snow in a pine forest
11,2,A red fox trotting through fresh snow in a pine forest
11,3,A red fox trotting through fresh snow in a pine forest
11,4,A red fox trotting through fresh snow in a pine forest
11,5,A red fox trotting through fresh snow in a pine forest
11,6,A red fox trotting through fresh snow in a pine forest
11,7,A red fox trotting through fresh snow in a pine forest
12,0,Fireworks exploding over a city skyline reflected in a river
12,1,Fireworks exploding over a city skyline reflected in a river
12,2,Fireworks exploding over a city skyline reflected in a river
12,3,Fireworks exploding over a city skyline reflected in a river
12,4,Fireworks exploding over a city skyline reflected in a river
12,5,Fireworks exploding over a city skyline reflected in a river
12,6,Fireworks exploding over a city skyline reflected in a river
12,7,Fireworks exploding over a city skyline reflected in a river
13,0,A skateboarder grinding a rail in an empty swimming pool
13,1,A skateboarder grinding a rail in an empty swimming pool
13,2,A skateboarder grinding a rail in an empty swimming pool
13,3,A skateboarder grinding a rail in an empty swimming pool
13,4,A skateboarder grinding a rail in an empty swimming pool
13,5,A skateboarder grinding a rail in an empty swimming pool
13,6,A skateboarder grinding a rail in an empty swimming pool
13,7,A skateboarder grinding a rail in an empty swimming pool
14,0,An elderly painter working on a canvas in a cluttered studio
14,1,An elderly painter working on a canvas in a cluttered studio
14,2,An elderly painter working on a canvas in a cluttered studio
14,3,An elderly painter working on a canvas in a cluttered studio
14,4,An elderly painter working on a canvas in a cluttered studio
14,5,An elderly painter working on a canvas in a cluttered studio
14,6,An elderly painter working on a canvas in a cluttered studio
14,7,An elderly painter working on a canvas in a cluttered studio
15,0,A sailboat heeling in strong wind on the open ocean
15,1,A sailboat heeling in strong wind on the open ocean
15,2,A sailboat heeling in strong wind on the open ocean
15,3,A sailboat heeling in strong wind on the open ocean
15,4,A sailboat heeling in strong wind on the open ocean
15,5,A sailboat heeling in strong wind on the open ocean
15,6,A sailboat heeling in strong wind on the open ocean
15,7,A sailboat heeling in strong wind on the open ocean
16,0,Lava flowing down a volcano slope at dusk
16,1,Lava flowing down a volcano slope at dusk
16,2,Lava flowing down a volcano slope at dusk
16,3,Lava flowing down a volcano slope at dusk
16,4,Lava flowing down a volcano slope at dusk
16,5,Lava flowing down a volcano slope at dusk
16,6,Lava flowing down a volcano slope at dusk
16,7,Lava flowing down a volcano slope at dusk
17,0,A street musician playing violin as pedestrians pass by
17,1,A street musician playing violin as pedestrians pass by
17,2,A street musician playing violin as pedestrians pass by
17,3,A street musician playing violin as pedestrians pass by
17,4,A street musician playing violin as pedestrians pass by
17,5,A street musician playing violin as pedestrians pass by
17,6,A street musician playing violin as pedestrians pass by
17,7,A street musician playing violin as pedestrians pass by
18,0,A drone shot rising above a terraced rice field in Bali
18,1,A drone shot rising above a terraced rice field in Bali
18,2,A drone shot rising above a terraced rice field in Bali
18,3,A drone shot rising above a terraced rice field in Bali
18,4,A drone shot rising above a terraced rice field in Bali
18,5,A drone shot rising above a terraced rice field in Bali
18,6,A drone shot rising above a terraced rice field in Bali
18,7,A drone shot rising above a terraced rice field in Bali
19,0,"A cat knocking a glass off a kitchen table, slow motion"
19,1,"A cat knocking a glass off a kitchen table, slow motion"
19,2,"A cat knocking a glass off a kitchen table, slow motion"
19,3,"A cat knocking a glass off a kitchen table, slow motion"
19,4,"A cat knocking a glass off a kitchen table, slow motion"
19,5,"A cat knocking a glass off a kitchen table, slow motion"
19,6,"A cat knocking a glass off a kitchen table, slow motion"
19,7,"A cat knocking a glass off a kitchen table, slow motion"
20,0,Rain drops hitting a window with a blurred city behind
20,1,Rain drops hitting a window with a blurred city behind
20,2,Rain drops hitting a window with a blurred city behind
20,3,Rain drops hitting a window with a blurred city behind
20,4,Rain drops hitting a window with a blurred city behind
20,5,Rain drops hitting a window with a blurred city behind
20,6,Rain drops hitting a window with a blurred city behind
20,7,Rain drops hitting a window with a blurred city behind
21,0,A basketball player making a slam dunk in a packed arena
21,1,A basketball player making a slam dunk in a packed arena
21,2,A basketball player making a slam dunk in a packed arena
21,3,A basketball player making a slam dunk in a packed arena
21,4,A basketball player making a slam dunk in a packed arena
21,5,A basketball player making a slam dunk in a packed arena
21,6,A basketball player making a slam dunk in a packed arena
21,7,A basketball player making a slam dunk in a packed arena
22,0,A field of sunflowers swaying in the breeze under blue sky
22,1,A field of sunflowers swaying in the breeze under blue sky
22,2,A field of sunflowers swaying in the breeze under blue sky
22,3,A field of sunflowers swaying in the breeze under blue sky
22,4,A field of sunflowers swaying in the breeze under blue sky
22,5,A field of sunflowers swaying in the breeze under blue sky
22,6,A field of sunflowers swaying in the breeze under blue sky
22,7,A field of sunflowers swaying in the breeze under blue sky
23,0,A submarine descending past a coral reef teeming with fish
23,1,A submarine descending past a coral reef teeming with fish
23,2,A submarine descending past a coral reef teeming with fish
23,3,A submarine descending past a coral reef teeming with fish
23,4,A submarine descending past a coral reef teeming with fish
23,5,A submarine descending past a coral reef teeming with fish
23,6,A submarine descending past a coral reef teeming with fish
23,7,A submarine descending past a coral reef teeming with fish
24,0,"A blacksmith hammering glowing metal, sparks flying"
24,1,"A blacksmith hammering glowing metal, sparks flying"
24,2,"A blacksmith hammering glowing metal, sparks flying"
24,3,"A blacksmith hammering glowing metal, sparks flying"
24,4,"A blacksmith hammering glowing metal, sparks flying"
24,5,"A blacksmith hammering glowing metal, sparks flying"
24,6,"A blacksmith hammering glowing metal, sparks flying"
24,7,"A blacksmith hammering glowing metal, sparks flying"
25,0,Autumn leaves falling onto a quiet forest path
25,1,Autumn leaves falling onto a quiet forest path
25,2,Autumn leaves falling onto a quiet forest path
25,3,Autumn leaves falling onto a quiet forest path
25,4,Autumn leaves falling onto a quiet forest path
25,5,Autumn leaves falling onto a quiet forest path
25,6,Autumn leaves falling onto a quiet forest path
25,7,Autumn leaves falling onto a quiet forest path
26,0,"A jellyfish pulsing through deep dark water, bioluminescent glow"
26,1,"A jellyfish pulsing through deep dark water, bioluminescent glow"
26,2,"A jellyfish pulsing through deep dark water, bioluminescent glow"
26,3,"A jellyfish pulsing through deep dark water, bioluminescent glow"
26,4,"A jellyfish pulsing through deep dark water, bioluminescent glow"
26,5,"A jellyfish pulsing through deep dark water, bioluminescent glow"
26,6,"A jellyfish pulsing through deep dark water, bioluminescent glow"
26,7,"A jellyfish pulsing through deep dark water, bioluminescent glow"
27,0,A cowboy riding a horse across an open prairie at golden hour
27,1,A cowboy riding a horse across an open prairie at golden hour
27,2,A cowboy riding a horse across an open prairie at golden hour
27,3,A cowboy riding a horse across an open prairie at golden hour
27,4,A cowboy riding a horse across an open prairie at golden hour
27,5,A cowboy riding a horse across an open prairie at golden hour
27,6,A cowboy riding a horse across an open prairie at golden hour
27,7,A cowboy riding a horse across an open prairie at golden hour
28,0,A robot arm assembling electronics on a factory line
28,1,A robot arm assembling electronics on a factory line
28,2,A robot arm assembling electronics on a factory line
28,3,A robot arm assembling electronics on a factory line
28,4,A robot arm assembling electronics on a factory line
28,5,A robot arm assembling electronics on a factory line
28,6,A robot arm assembling electronics on a factory line
28,7,A robot arm assembling electronics on a factory line
29,0,Snow falling on a busy Tokyo crossing at night
29,1,Snow falling on a busy Tokyo crossing at night
29,2,Snow falling on a busy Tokyo crossing at night
29,3,Snow falling on a busy Tokyo crossing at night
29,4,Snow falling on a busy Tokyo crossing at night
29,5,Snow falling on a busy Tokyo crossing at night
29,6,Snow falling on a busy Tokyo crossing at night
29,7,Snow falling on a busy Tokyo crossing at night
30,0,A young woman blowing out candles on a birthday cake
30,1,A young woman blowing out candles on a birthday cake
30,2,A young woman blowing out candles on a birthday cake
30,3,A young woman blowing out candles on a birthday cake
30,4,A young woman blowing out candles on a birthday cake
30,5,A young woman blowing out candles on a birthday cake
30,6,A young woman blowing out candles on a birthday cake
30,7,A young woman blowing out candles on a birthday cake
31,0,"An eagle soaring over a canyon, camera tracking from behind"
31,1,"An eagle soaring over a canyon, camera tracking from behind"
31,2,"An eagle soaring over a canyon, camera tracking from behind"
31,3,"An eagle soaring over a canyon, camera tracking from behind"
31,4,"An eagle soaring over a canyon, camera tracking from behind"
31,5,"An eagle soaring over a canyon, camera tracking from behind"
31,6,"An eagle soaring over a canyon, camera tracking from behind"
31,7,"An eagle soaring over a canyon, camera tracking from behind"
32,0,A double-decker bus driving past Big Ben on a foggy morning
32,1,A double-decker bus driving past Big Ben on a foggy morning
32,2,A double-decker bus driving past Big Ben on a foggy morning
32,3,A double-decker bus driving past Big Ben on a foggy morning
32,4,A double-decker bus driving past Big Ben on a foggy morning
32,5,A double-decker bus driving past Big Ben on a foggy morning
32,6,A double-decker bus driving past Big Ben on a foggy morning
32,7,A double-decker bus driving past Big Ben on a foggy morning
33,0,A glass of red wine being poured in slow motion
33,1,A glass of red wine being poured in slow motion
33,2,A glass of red wine being poured in slow motion
33,3,A glass of red wine being poured in slow motion
33,4,A glass of red wine being poured in slow motion
33,5,A glass of red wine being poured in slow motion
33,6,A glass of red wine being poured in slow motion
33,7,A glass of red wine being poured in slow motion
34,0,Penguins sliding on ice into the sea in Antarctica
34,1,Penguins sliding on ice into the sea in Antarctica
34,2,Penguins sliding on ice into the sea in Antarctica
34,3,Penguins sliding on ice into the sea in Antarctica
34,4,Penguins sliding on ice into the sea in Antarctica
34,5,Penguins sliding on ice into the sea in Antarctica
34,6,Penguins sliding on ice into the sea in Antarctica
34,7,Penguins sliding on ice into the sea in Antarctica
35,0,A campfire crackling under a starry desert sky
35,1,A campfire crackling under a starry desert sky
35,2,A campfire crackling under a starry desert sky
35,3,A campfire crackling under a starry desert sky
35,4,A campfire crackling under a starry desert sky
35,5,A campfire crackling under a starry desert sky
35,6,A campfire crackling under a starry desert sky
35,7,A campfire crackling under a starry desert sky
36,0,A surfer riding inside a large barrel wave
36,1,A surfer riding inside a large barrel wave
36,2,A surfer riding inside a large barrel wave
36,3,A surfer riding inside a large barrel wave
36,4,A surfer riding inside a large barrel wave
36,5,A surfer riding inside a large barrel wave
36,6,A surfer riding inside a large barrel wave
36,7,A surfer riding inside a large barrel wave
37,0,An old film projector flickering in a dark room
37,1,An old film projector flickering in a dark room
37,2,An old film projector flickering in a dark room
37,3,An old film projector flickering in a dark room
37,4,An old film projector flickering in a dark room
37,5,An old film projector flickering in a dark room
37,6,An old film projector flickering in a dark room
37,7,An old film projector flickering in a dark room
38,0,A masked dancer performing in a traditional Chinese opera
38,1,A masked dancer performing in a traditional Chinese opera
38,2,A masked dancer performing in a traditional Chinese opera
38,3,A masked dancer performing in a traditional Chinese opera
38,4,A masked dancer performing in a traditional Chinese opera
38,5,A masked dancer performing in a traditional Chinese opera
38,6,A masked dancer performing in a traditional Chinese opera
38,7,A masked dancer performing in a traditional Chinese opera
39,0,Bees swarming around honeycomb in a wooden hive
39,1,Bees swarming around honeycomb in a wooden hive
39,2,Bees swarming around honeycomb in a wooden hive
39,3,Bees swarming around honeycomb in a wooden hive
39,4,Bees swarming around honeycomb in a wooden hive
39,5,Bees swarming around honeycomb in a wooden hive
39,6,Bees swarming around honeycomb in a wooden hive
39,7,Bees swarming around honeycomb in a wooden hive
40,0,"A racing car drifting around a hairpin turn, tire smoke"
40,1,"A racing car drifting around a hairpin turn, tire smoke"
40,2,"A racing car drifting around a hairpin turn, tire smoke"
40,3,"A racing car drifting around a hairpin turn, tire smoke"
40,4,"A racing car drifting around a hairpin turn, tire smoke"
40,5,"A racing car drifting around a hairpin turn, tire smoke"
40,6,"A racing car drifting around a hairpin turn, tire smoke"
40,7,"A racing car drifting around a hairpin turn, tire smoke"
41,0,A librarian shelving books in a grand old library
41,1,A librarian shelving books in a grand old library
41,2,A librarian shelving books in a grand old library
41,3,A librarian shelving books in a grand old library
41,4,A librarian shelving books in a grand old library
41,5,A librarian shelving books in a grand old library
41,6,A librarian shelving books in a grand old library
41,7,A librarian shelving books in a grand old library
42,0,Morning fog lifting off a mirror-calm alpine lake
42,1,Morning fog lifting off a mirror-calm alpine lake
42,2,Morning fog lifting off a mirror-calm alpine lake
42,3,Morning fog lifting off a mirror-calm alpine lake
42,4,Morning fog lifting off a mirror-calm alpine lake
42,5,Morning fog lifting off a mirror-calm alpine lake
42,6,Morning fog lifting off a mirror-calm alpine lake
42,7,Morning fog lifting off a mirror-calm alpine lake
43,0,A toddler taking wobbly first steps toward the camera
43,1,A toddler taking wobbly first steps toward the camera
43,2,A toddler taking wobbly first steps toward the camera
43,3,A toddler taking wobbly first steps toward the camera
43,4,A toddler taking wobbly first steps toward the camera
43,5,A toddler taking wobbly first steps toward the camera
43,6,A toddler taking wobbly first steps toward the camera
43,7,A toddler taking wobbly first steps toward the camera
44,0,A neon jellyfish made of light floating through a cyberpunk street
44,1,A neon jellyfish made of light floating through a cyberpunk street
44,2,A neon jellyfish made of light floating through a cyberpunk street
44,3,A neon jellyfish made of light floating through a cyberpunk street
44,4,A neon jellyfish made of light floating through a cyberpunk street
44,5,A neon jellyfish made of light floating through a cyberpunk street
44,6,A neon jellyfish made of light floating through a cyberpunk street
44,7,A neon jellyfish made of light floating through a cyberpunk street
45,0,"A watercolor painting of a lighthouse coming to life, waves animating"
45,1,"A watercolor painting of a lighthouse coming to life, waves animating"
45,2,"A watercolor painting of a lighthouse coming to life, waves animating"
45,3,"A watercolor painting of a lighthouse coming to life, waves animating"
45,4,"A watercolor painting of a lighthouse coming to life, waves animating"
45,5,"A watercolor painting of a lighthouse coming to life, waves animating"
45,6,"A watercolor painting of a lighthouse coming to life, waves animating"
45,7,"A watercolor painting of a lighthouse coming to life, waves animating"
46,0,"An astronaut planting a flag on a red rocky planet, dust drifting"
46,1,"An astronaut planting a flag on a red rocky planet, dust drifting"
46,2,"An astronaut planting a flag on a red rocky planet, dust drifting"
46,3,"An astronaut planting a flag on a red rocky planet, dust drifting"
46,4,"An astronaut planting a flag on a red rocky planet, dust drifting"
46,5,"An astronaut planting a flag on a red rocky planet, dust drifting"
46,6,"An astronaut planting a flag on a red rocky planet, dust drifting"
46,7,"An astronaut planting a flag on a red rocky planet, dust drifting"
47,0,A stop-motion clay dinosaur stomping through a paper city
47,1,A stop-motion clay dinosaur stomping through a paper city
47,2,A stop-motion clay dinosaur stomping through a paper city
47,3,A stop-motion clay dinosaur stomping through a paper city
47,4,A stop-motion clay dinosaur stomping through a paper city
47,5,A stop-motion clay dinosaur stomping through a paper city
47,6,A stop-motion clay dinosaur stomping through a paper city
47,7,A stop-motion clay dinosaur stomping through a paper city
48,0,Origami birds unfolding and flying away from a wooden desk
48,1,Origami birds unfolding and flying away from a wooden desk
48,2,Origami birds unfolding and flying away from a wooden desk
48,3,Origami birds unfolding and flying away from a wooden desk
48,4,Origami birds unfolding and flying away from a wooden desk
48,5,Origami birds unfolding and flying away from a wooden desk
48,6,Origami birds unfolding and flying away from a wooden desk
48,7,Origami birds unfolding and flying away from a wooden desk
49,0,"A medieval knight walking through a burning village, embers in the air"
49,1,"A medieval knight walking through a burning village, embers in the air"
49,2,"A medieval knight walking through a burning village, embers in the air"
49,3,"A medieval knight walking through a burning village, embers in the air"
49,4,"A medieval knight walking through a burning village, embers in the air"
49,5,"A medieval knight walking through a burning village, embers in the air"
49,6,"A medieval knight walking through a burning village, embers in the air"
49,7,"A medieval knight walking through a burning village, embers in the air"
